competition_id,mean,round_type_id,group_id,scramble_num,scramble,optimal_simtickcount,simtickcount_solution
MinervaOpen2022,15.2,d,C,1,UR5- DR2+ DL4- UL1+ U5+ R4+ D4+ L4- ALL6+ y2 U6+ R1+ D1+ L1+ ALL6+ DL UL,14,"UR(0,-1) DR(-1,0) UL(-1,1) D(-1,1) L(-4,-4) ur(-2,5) dl(0,1)"
MinervaOpen2022,15.2,d,C,2,UR6+ DR5- DL3- UL3- U5+ R2+ D1- L6+ ALL1+ y2 U1- R5- D5- L1+ ALL3+ DL UL,18,"DL(-3,0) UL(3,-3) U(1,1) R(-3,3) dr(0,1) dl(-5,5) ul(0,-1) /(-1,-1)"
MinervaOpen2022,15.2,d,C,3,UR4+ DR2- DL3+ UL6+ U2+ R6+ D4+ L2+ ALL2+ y2 U4- R0+ D2- L2- ALL2-,15,"DR(4,4) DL(1,0) D(2,-4) dr(2,-2) /(0,4)"
MinervaOpen2022,15.2,d,C,4,UR4+ DR3+ DL3- UL4+ U3- R6+ D2+ L3+ ALL3+ y2 U1+ R2+ D3+ L1+ ALL2+ UR DR,13,"UR(-1,0) UL(-4,4) D(-2,1) ur(-2,0) dr(0,1) dl(2,2) /(0,1)"
MinervaOpen2022,15.2,d,C,5,UR0+ DR3+ DL5+ UL0+ U2+ R4- D5- L5+ ALL6+ y2 U3- R4- D2- L1+ ALL3+ UR DL,16,"DR(0,-1) U(-2,1) R(1,-1) D(-3,-3) L(2,1) dl(-2,-3) ul(2,0) \(2,1)"
PribramCube2024,15.2,f,A,1,UR0+ DR4+ DL0+ UL3- U4+ R3- D2+ L4- ALL1+ y2 U2+ R1- D6+ L0+ ALL1+,18,"UR(0,-2) DR(-1,0) DL(-2,0) U(-1,-3) R(0,-1) D(-3,2) L(-3,3) dr(-3,-3)"
PribramCube2024,15.2,f,A,2,UR4- DR2- DL3- UL1+ U4+ R5+ D5+ L6+ ALL0+ y2 U2- R4- D4- L4- ALL5-,16,"DR(1,-1) DL(-1,0) UL(-1,-2) L(-2,-2) ur(0,-2) dl(2,-4) /(1,4)"
PribramCube2024,15.2,f,A,3,UR1- DR3+ DL6+ UL1- U3+ R3+ D5+ L2- ALL3+ y2 U3+ R3+ D1+ L0+ ALL2+,16,"UR(-1,-4) DR(-2,-2) R(-2,2) L(-3,-3) ur(-1,3) dl(1,1) /(1,0)"
PribramCube2024,15.2,f,A,4,UR5+ DR4- DL6+ UL2+ U4+ R0+ D5- L2+ ALL3+ y2 U3- R1+ D4+ L0+ ALL2+,14,"DR(1,0) DL(2,2) U(1,1) R(-2,1) ur(-4,-3) dr(2,3) ALL(-1,0)"
PribramCube2024,15.2,f,A,5,UR3+ DR1+ DL5+ UL2- U3- R1- D1- L1+ ALL3+ y2 U0+ R2+ D1- L1- ALL4+,12,"DL(-5,3) UL(1,1) U(1,0) R(-3,2) dr(0,-1) \(0,-1)"
CubingKnightsV2023,15.4,f,A,1,UR4+ DR5- DL4+ UL4- U4- R5+ D1+ L3+ ALL1- y2 U2+ R1- D6+ L4+ ALL3- UR DR DL,18,"UR(-4,4) UL(-3,-3) U(-1,2) R(0,-1) D(0,2) dr(3,4) /(2,0)"
CubingKnightsV2023,15.4,f,A,2,UR0+ DR3- DL5- UL2+ U4+ R6+ D1- L5- ALL3+ y2 U2+ R1+ D2+ L1- ALL6+ UR,14,"UR(-2,-2) DR(-1,0) UL(-3,-3) U(-1,1) D(-2,2) L(-1,-1) dl(0,1) /(-1,0) \(-2,0)"
CubingKnightsV2023,15.4,f,A,3,UR2- DR0+ DL5- UL6+ U5- R5+ D5- L2- ALL0+ y2 U2+ R5+ D2+ L5- ALL5+ UR DR,16,"DR(-2,-1) UL(1,0) R(-1,1) L(0,-5) dl(1,2) ul(0,2) \(-3,-2)"
CubingKnightsV2023,15.4,f,A,4,UR3- DR3- DL4- UL4+ U2+ R5- D4- L1+ ALL5+ y2 U3+ R3+ D1+ L4+ ALL1+ DR DL,16,"UR(-1,-1) DL(-1,0) U(-2,-2) L(0,1) dr(-1,3) ul(4,3) /(-4,-4)"
CubingKnightsV2023,15.4,f,A,5,UR3+ DR2+ DL1+ UL2+ U2+ R5+ D4- L2- ALL5- y2 U1- R1- D0+ L0+ ALL6+ DR DL UL,13,"DL(1,1) UL(-2,2) U(-5,0) R(2,0) ul(1,-1) /(-1,2)"
50YearsVallentuna2024,15.6,f,B,1,UR5+ DR3+ DL3- UL1+ U4+ R3- D1+ L3+ ALL1+ y2 U1- R4+ D1- L2- ALL4+,15,"UR(2,1) DL(-1,-1) R(5,4) ur(0,-1) dr(-1,-1) \(-5,2)"
50YearsVallentuna2024,15.6,f,B,2,UR1- DR5+ DL4+ UL5+ U0+ R0+ D6+ L5+ ALL5- y2 U0+ R3- D6+ L2- ALL3-,14,"UR(-1,1) DR(-3,3) UL(-2,0) U(-1,-1) dr(0,-2) dl(-2,-3) ALL(2,0)"
50YearsVallentuna2024,15.6,f,B,3,UR3+ DR1+ DL1+ UL1+ U5- R4- D2- L3- ALL4+ y2 U5+ R0+ D1- L5+ ALL4-,12,"U(1,0) L(1,1) ur(5,5) dr(1,-1) \(-4,0)"
50YearsVallentuna2024,15.6,f,B,4,UR2- DR1- DL2+ UL2- U3- R5- D4- L4- ALL6+ y2 U4+ R0+ D3+ L5+ ALL1+,20,"UR(-4,-4) DL(3,-2) UL(1,0) U(-2,2) ur(-3,4) dr(-1,1) ALL(-5,0)"
50YearsVallentuna2024,15.6,f,B,5,UR2+ DR5- DL5- UL1- U3- R4- D5+ L4+ ALL1- y2 U1+ R6+ D0+ L1+ ALL3+,17,"DR(2,2) DL(3,4) U(2,0) R(5,5) L(-1,1) ul(-1,1) /(-2,-2)"
IvreaBacktoSquareOne2024,15.6,c,B,1,UR1+ DR1+ DL1+ UL2- U2+ R1- D3- L5+ ALL2+ y2 U1+ R2- D1- L2+ ALL2+,10,"UR(-1,1) R(0,-2) D(1,1) L(-4,3) dr(-2,-1)"
IvreaBacktoSquareOne2024,15.6,c,B,2,UR1+ DR1- DL5- UL3- U1+ R5+ D2+ L0+ ALL0+ y2 U1+ R2- D4- L2+ ALL2-,20,"UR(-1,-1) DL(4,0) UL(2,0) U(0,-4) R(-4,-3) L(2,2) ul(-1,1) ALL(-2,0)"
IvreaBacktoSquareOne2024,15.6,c,B,3,UR0+ DR4+ DL5- UL3+ U2- R6+ D0+ L3+ ALL3+ y2 U3- R5- D5- L4- ALL0+,14,"DR(1,0) UL(-1,1) R(1,-1) ur(3,-3) dr(-1,-1) dl(-3,-4) \(0,3)"
IvreaBacktoSquareOne2024,15.6,c,B,4,UR4- DR1+ DL2- UL2+ U1+ R0+ D0+ L3- ALL2+ y2 U2+ R5- D5- L5+ ALL2+,16,"UR(1,-1) DL(1,0) U(0,-1) R(2,0) L(2,2) ur(-3,3) dl(1,-4) ul(0,-1) \(-1,1)"
IvreaBacktoSquareOne2024,15.6,c,B,5,UR4- DR3- DL2+ UL4+ U3- R0+ D1+ L5+ ALL0+ y2 U1+ R0+ D4- L3- ALL5-,18,"UR(3,2) R(4,0) L(1,0) ur(0,1) dr(-1,-4) /(3,0) \(0,2)"
CoosaCubingClash2025,15.8,1,A,1,UR2- DR3- DL3- UL2- U6+ R6+ D4- L2+ ALL4+ y2 U3- R1+ D3- L3- ALL6+,16,"UR(0,-1) UL(0,-1) U(-2,-3) R(-1,1) D(-2,-3) L(3,-3) /(-2,-2) ALL(0,-2)"
CoosaCubingClash2025,15.8,1,A,2,UR3+ DR2+ DL1+ UL1- U1- R4- D0+ L1- ALL4+ y2 U2- R2+ D2+ L2- ALL2+,11,"DR(-1,-1) UL(1,0) U(-2,2) R(0,2) D(-2,0) ur(0,-2) /(1,1)"
CoosaCubingClash2025,15.8,1,A,3,UR1+ DR2- DL5+ UL5+ U0+ R3+ D3- L0+ ALL2+ y2 U5+ R2+ D1+ L3+ ALL2+,17,"UL(2,2) U(4,1) R(-2,1) D(0,1) ur(1,3) ul(0,1) /(-4,4)"
CoosaCubingClash2025,15.8,1,A,4,UR4+ DR4- DL4- UL5- U3+ R5+ D4- L2- ALL1- y2 U1+ R3+ D0+ L4- ALL2+,17,"UR(-3,-5) U(1,0) R(-2,2) L(-1,-4) ul(0,1) \(1,-4)"
CoosaCubingClash2025,15.8,1,A,5,UR1+ DR5+ DL3+ UL5- U0+ R4+ D1+ L1+ ALL1+ y2 U3- R5- D5- L3- ALL1+,18,"UR(0,2) DR(2,2) DL(1,1) U(4,0) dr(2,-3) dl(0,-2) ul(4,-3)"
Cube4funLublinonWEII2024,15.8,f,A,1,UR5- DR4+ DL0+ UL4+ U3- R3+ D2+ L4- ALL4- y2 U6+ R4- D6+ L0+ ALL3-,20,"DR(-2,2) U(4,-2) D(-4,-5) L(0,1) ur(-1,-1) dl(-3,-4) \(-3,2)"
Cube4funLublinonWEII2024,15.8,f,A,2,UR4- DR1- DL3- UL5- U0+ R2+ D0+ L3- ALL5- y2 U3- R2- D1- L1- ALL5-,14,"DR(3,2) U(-3,-1) D(1,-1) L(-1,-1) dl(-1,0) ul(-1,-2) \(-3,3)"
Cube4funLublinonWEII2024,15.8,f,A,3,UR0+ DR2- DL2- UL1+ U5+ R5+ D6+ L3+ ALL3- y2 U1+ R3+ D1+ L1- ALL1-,13,"UL(-2,-1) U(-4,1) R(-3,3) D(-2,2) ur(-1,-1) /(-1,-1)"
Cube4funLublinonWEII2024,15.8,f,A,4,UR1- DR1+ DL1+ UL0+ U4+ R3+ D0+ L3- ALL1- y2 U1- R2- D1+ L0+ ALL0+,11,"UR(-1,1) DR(-2,-2) U(-2,1) L(2,-1) ur(1,1) ul(-1,-2) \(-1,0)"
Cube4funLublinonWEII2024,15.8,f,A,5,UR4+ DR2- DL4+ UL3- U2+ R2+ D0+ L2- ALL6+ y2 U6+ R0+ D5- L1+ ALL3-,21,"UR(-3,1) DR(-1,0) U(0,-5) D(-1,5) L(1,0) ur(1,1) \(2,-3) ALL(2,0)"
KaisaniemiCubing2025,15.8,2,B,1,UR0+ DR2+ DL2- UL4+ U1- R0+ D3- L3- ALL3- y2 U5- R2- D0+ L1+ ALL2-,13,"UR(-2,0) U(-1,-1) D(3,-3) L(1,0) dr(1,1) ul(2,-2) /(2,-2) \(0,-1)"
KaisaniemiCubing2025,15.8,2,B,2,UR5- DR3- DL5+ UL4+ U5+ R2- D4- L1+ ALL5+ y2 U1+ R1+ D2- L3- ALL1+,18,"UR(-2,-1) DR(0,-3) DL(2,-3) U(-2,-1) L(0,-2) dr(0,-1) ul(0,1) /(-4,-4)"
KaisaniemiCubing2025,15.8,2,B,3,UR5+ DR2- DL5- UL4+ U1+ R6+ D1+ L2- ALL3+ y2 U6+ R2- D4- L2- ALL5-,21,"DR(3,2) DL(1,0) UL(2,-3) U(0,-2) D(2,-4) ur(2,-2) dl(-1,-2) \(4,4)"
KaisaniemiCubing2025,15.8,2,B,4,UR4+ DR4+ DL1- UL1+ U3- R4- D2- L0+ ALL2+ y2 U4- R2- D0+ L2- ALL3+,10,"UR(-2,-1) DR(-1,-1) R(-1,0) ur(0,-2) ul(3,-2) ALL(0,1)"
